,zip,median_price,num_ap_homes
0,94580,"669,000",44
1,95050,"1,320,000",78
2,94538,"992,000",144
3,95032,"1,600,000",91
4,94607,"660,000",70
5,94605,"675,000",158
6,94578,"623,000",62
7,94115,"1,850,000",59
8,95136,"899,000",92
9,94124,"899,000",61
10,94603,"485,000",62
11,94121,"1,490,000",64
12,94040,"1,700,000",34
13,95117,"1,220,000",29
14,94062,"2,950,000",83
15,94621,"400,000",63
16,94552,"1,200,000",24
17,95121,"849,000",71
18,94551,"749,000",151
19,94043,"1,610,000",66
20,95123,"889,000",168
21,94108,"1,220,000",23
22,94041,"2,000,000",13
23,94566,"1,250,000",117
24,94546,"775,000",93
25,94089,"1,280,000",25
26,94116,"1,300,000",40
27,95051,"1,360,000",71
28,94158,"1,530,000",22
29,94545,"675,000",60
30,94104,"1,500,000",15
31,94541,"628,000",130
32,95130,"1,500,000",21
33,95035,"999,000",200
34,95133,"966,000",43
35,94555,"1,100,000",61
36,94304,"4,900,000",3
37,95110,"898,000",57
38,94118,"1,520,000",40
39,94301,"3,750,000",40
40,94544,"650,000",128
41,94560,"1,000,000",155
42,94602,"767,000",59
43,94103,"874,000",77
44,94601,"629,000",64
45,94550,"865,000",151
46,94401,"1,090,000",57
47,94122,"1,200,000",46
48,95030,"3,140,000",54
49,94134,"900,000",44
50,95131,"953,000",62
51,95122,"720,000",64
52,94579,"677,000",23
53,94611,"1,070,000",99
54,94588,"1,100,000",66
55,95124,"1,250,000",91
56,95138,"1,250,000",43
57,94612,"769,000",9
58,94102,"775,000",31
59,94303,"1,100,000",60
60,94107,"1,200,000",88
61,94127,"1,700,000",45
62,95128,"1,130,000",46
63,94587,"899,000",135
64,95125,"1,450,000",120
65,94086,"1,310,000",58
66,94610,"899,000",33
67,94085,"1,440,000",57
68,94577,"698,000",74
69,94114,"1,800,000",53
70,94123,"2,620,000",41
71,95120,"1,520,000",75
72,94111,"1,420,000",13
73,94109,"1,140,000",123
74,94404,"1,310,000",60
75,95129,"1,700,000",44
76,95014,"2,000,000",67
77,95126,"1,040,000",35
78,94061,"1,540,000",53
79,94618,"1,170,000",46
80,95070,"2,890,000",96
81,95139,"847,000",20
82,94609,"799,000",25
83,95132,"1,180,000",61
84,94306,"2,640,000",35
85,94110,"1,400,000",105
86,94080,"928,000",86
87,95054,"1,250,000",29
88,95111,"784,000",85
89,94606,"699,000",28
90,94133,"2,300,000",32
91,94542,"899,000",69
92,94536,"990,000",138
93,94112,"988,000",73
94,94568,"950,000",245
95,95116,"700,000",65
96,94539,"1,440,000",164
97,95134,"1,150,000",6
98,94065,"1,400,000",24
99,94117,"1,590,000",46
100,94131,"1,540,000",89
101,95112,"850,000",62
102,94132,"1,140,000",35
103,94619,"675,000",46
104,94105,"1,600,000",87
105,94403,"1,590,000",71
106,95127,"855,000",94
107,95135,"1,100,000",58
108,94402,"1,950,000",49
109,94087,"1,990,000",57
110,95148,"1,100,000",65
111,95119,"999,000",26
112,95113,"732,000",0
113,94025,"2,000,000",90
114,95118,"1,110,000",61
115,94063,"1,120,000",24
