,zip,sld
0,94401,320
1,94545,318
2,95070,313
3,94621,235
4,94115,285
5,94061,339
6,95116,248
7,94132,127
8,94612,71
9,94544,515
10,94063,112
11,94065,154
12,95014,342
13,95148,307
14,94601,240
15,95128,297
16,95119,127
17,95123,792
18,94133,124
19,94587,562
20,94550,732
21,94109,419
22,94304,10
23,94577,420
24,94108,43
25,94580,276
26,94131,313
27,94301,158
28,94118,240
29,95110,181
30,94538,544
31,94089,93
32,95139,95
33,95132,322
34,95122,308
35,94127,187
36,95121,259
37,95124,568
38,95129,256
39,94116,232
40,95051,497
41,94619,273
42,94605,527
43,94541,634
44,94536,678
45,94103,247
46,94610,287
47,94566,531
48,94403,410
49,95030,184
50,94542,202
51,94043,350
52,94578,298
53,94062,301
54,94102,114
55,94551,602
56,95032,360
57,94122,247
58,94603,286
59,94618,201
60,94110,453
61,94404,403
62,95054,191
63,94121,190
64,94560,497
65,94123,198
66,94117,282
67,94306,195
68,94602,279
69,94402,258
70,94539,445
71,94606,114
72,95050,321
73,94579,180
74,94040,260
75,94607,256
76,94611,524
77,95112,319
78,94158,165
79,94080,406
80,94114,369
81,95127,530
82,94552,134
83,95130,110
84,94134,173
85,94555,334
86,95111,350
87,95118,365
88,94303,318
89,94085,197
90,94112,398
91,95131,232
92,95135,271
93,94124,212
94,94105,332
95,95125,679
96,94086,317
97,95113,20
98,94111,57
99,94087,401
100,94609,156
101,95035,582
102,94107,486
103,94568,815
104,94025,412
105,94041,72
106,95133,239
107,95117,185
108,94588,437
109,95138,214
110,95120,407
111,94546,458
112,95126,288
113,95136,387
114,94104,26
115,95134,68
